Month,Day,Year,Day of Week,Policy Number,Processing Done
November,20, 2017,Monday,VF53205110,EFT TIA
November,20, 2017,Monday,VF53177720,AWD Docattach
November,21, 2017,Tuesday,VF53177020,Refund
November,21, 2017,Tuesday,VF53177060,Refund
November,21, 2017,Tuesday,VF53177160,Refund
November,21, 2017,Tuesday,VF53205860,EFT TIA
November,21, 2017,Tuesday,VF53177190,Refund
November,21, 2017,Tuesday,VF53185420,Refund
November,21, 2017,Tuesday,VF53205460,EFT TIA
November,21, 2017,Tuesday,VF53205710,EFT TIA
November,21, 2017,Tuesday,VF53205740,EFT TIA
November,21, 2017,Tuesday,VF53205720,EFT TIA
November,21, 2017,Tuesday,VF53205900,EFT TIA
November,21, 2017,Tuesday,VF53177240,Refund
November,21, 2017,Tuesday,VF53205740,EFT TIA
November,21, 2017,Tuesday,VF53205720,EFT TIA
November,22, 2017,Wednesday,VF53205910,EFT TIA
November,22, 2017,Wednesday,VF53205920,EFT TIA
November,22, 2017,Wednesday,VF53177160,Refund
November,22, 2017,Wednesday,VF53206190,EFT TIA
November,22, 2017,Wednesday,VF53177190,Refund
November,22, 2017,Wednesday,VP66314100,EFT TIA
November,22, 2017,Wednesday,VP66314190,EFT TIA
November,22, 2017,Wednesday,VF53206220,EFT TIA
November,22, 2017,Wednesday,VF53206070,EFT TIA
November,22, 2017,Wednesday,VF53202590,EFT TIA
November,22, 2017,Wednesday,VF53202600,EFT TIA
November,22, 2017,Wednesday,VP66314190,EFT TIA
November,22, 2017,Wednesday,VF53206070,EFT TIA
November,22, 2017,Wednesday,VF53177240,Refund
November,22, 2017,Wednesday,VF53205990,EFT TIA
November,22, 2017,Wednesday,VF53206590,EFT TIA
November,22, 2017,Wednesday,VF53206370,EFT TIA
November,22, 2017,Wednesday,VF53193740,Refund
November,27, 2017,Monday,VF53206730,EFT TIA
November,27, 2017,Monday,VF53206790,EFT TIA
November,27, 2017,Monday,VF53188750,TIAEXPIRED
November,27, 2017,Monday,VF53177060,Refund
November,27, 2017,Monday,VF53206760,EFT TIA
November,27, 2017,Monday,VF53206490,EFT TIA
November,27, 2017,Monday,VF53206760,EFT TIA
November,27, 2017,Monday,VF53207240,EFT TIA
November,27, 2017,Monday,VF53207930,EFT TIA
November,27, 2017,Monday,VF53207850,EFT TIA
November,27, 2017,Monday,VF53207090,EFT TIA
November,27, 2017,Monday,VF53207400,EFT TIA
November,27, 2017,Monday,VP66312600,Paycase
November,27, 2017,Monday,VF53207400,EFT TIA
November,27, 2017,Monday,VF53207100,EFT TIA
November,27, 2017,Monday,VF53205930,EFT TIA
November,27, 2017,Monday,VF53206840,EFT TIA
November,27, 2017,Monday,VF53207470,EFT TIA
November,27, 2017,Monday,VF53207070,EFT TIA
November,27, 2017,Monday,VF53207170,EFT TIA
November,28, 2017,Tuesday,VF53207940,EFT TIA
November,28, 2017,Tuesday,VF53207830,EFT TIA
November,28, 2017,Tuesday,VF53207820,EFT TIA
November,28, 2017,Tuesday,VF53205320,EFT TIA
November,28, 2017,Tuesday,VF53207860,EFT TIA
November,28, 2017,Tuesday,VF53188750,TIAEXPIRED
November,28, 2017,Tuesday,VF53193900,Refund
November,28, 2017,Tuesday,VF53181820,Refund
November,28, 2017,Tuesday,VF53194390,Refund
November,28, 2017,Tuesday,VF53208570,EFT TIA
November,28, 2017,Tuesday,VF53205950,EFT TIA
November,28, 2017,Tuesday,VP66314400,EFT TIA
November,28, 2017,Tuesday,VF53208170,EFT TIA
November,28, 2017,Tuesday,VF53208570,EFT TIA
November,28, 2017,Tuesday,VF53205680,EFT TIA
November,28, 2017,Tuesday,VF53187740,Refund
November,29, 2017,Wednesday,VF53208510,EFT TIA
November,29, 2017,Wednesday,VF53208100,EFT TIA
November,29, 2017,Wednesday,VF53208230,EFT TIA
November,29, 2017,Wednesday,VF53208840,EFT TIA
November,29, 2017,Wednesday,VF53177060,Refund
November,29, 2017,Wednesday,VF53183390,Refund
November,29, 2017,Wednesday,VF53208460,EFT TIA
November,29, 2017,Wednesday,VF53209260,EFT TIA
November,29, 2017,Wednesday,VF53193840,Refund
November,29, 2017,Wednesday,VF53209380,EFT TIA
November,29, 2017,Wednesday,VF53208530,EFT TIA
November,29, 2017,Wednesday,VF53208980,EFT TIA
November,29, 2017,Wednesday,VF53207000,EFT TIA
November,29, 2017,Wednesday,VF53189370,EFT TIA
November,29, 2017,Wednesday,VF53192890,EFT TIA
November,29, 2017,Wednesday,VF53205260,EFT TIA
November,29, 2017,Wednesday,VF53205220,EFT TIA
November,29, 2017,Wednesday,VF53209010,EFT TIA
November,29, 2017,Wednesday,VF53209210,EFT TIA
November,29, 2017,Wednesday,VF53198140,EFT TIA
November,29, 2017,Wednesday,VF53203160,EFT TIA
November,29, 2017,Wednesday,VF53209850,EFT TIA
November,29, 2017,Wednesday,VF53209800,EFT TIA
November,30, 2017,Thursday,VF53183390,Refund
November,30, 2017,Thursday,VF53209760,EFT TIA
November,30, 2017,Thursday,VF53210090,EFT TIA
November,30, 2017,Thursday,VF53210250,EFT TIA
November,30, 2017,Thursday,VF53177060,Refund
December,1, 2017,Friday,VF53208190,EFT TIA
December,1, 2017,Friday,VF53210890,EFT TIA
December,1, 2017,Friday,VF53209640,EFT TIA
December,1, 2017,Friday,VF53210820,EFT TIA
December,1, 2017,Friday,VF53210830,EFT TIA
December,1, 2017,Friday,VF53193470,Refund
December,1, 2017,Friday,VF53210920,EFT TIA
December,4, 2017,Monday,VF53207750,EFT TIA
December,4, 2017,Monday,VF53212240,EFT TIA
December,4, 2017,Monday,VF53206890,EFT TIA
December,4, 2017,Monday,VF53212430,EFT TIA
December,4, 2017,Monday,VF53207740,EFT TIA
December,4, 2017,Monday,VF53207910,EFT TIA
December,4, 2017,Monday,VF53210060,EFT TIA
December,5, 2017,Tuesday,VF53208890,EFT TIA
December,7, 2017,Thursday,VF53214060,EFT TIA
December,7, 2017,Thursday,VF53213980,EFT TIA
December,7, 2017,Thursday,VF53214390,EFT TIA
December,7, 2017,Thursday,VF53213680,EFT TIA
December,7, 2017,Thursday,VF53213710,EFT TIA
December,11, 2017,Monday,VF53205010,Refund
December,11, 2017,Monday,VF53192890,Refund
December,11, 2017,Monday,VF53197320,Refund
December,11, 2017,Monday,VF53193770,AWD Docattach
December,11, 2017,Monday,VF53203400,AWD Docattach
December,11, 2017,Monday,VF53214720,EFT TIA
December,11, 2017,Monday,VF53215200,EFT TIA
December,11, 2017,Monday,VF53201160,TIAEXPIRED
December,11, 2017,Monday,VF53203590,TIAEXPIRED
December,11, 2017,Monday,VF53187180,AWD Docattach
December,11, 2017,Monday,VF53203840,TIAEXPIRED
December,11, 2017,Monday,VF53200040,TIAEXPIRED
December,11, 2017,Monday,VF53215070,Apply Check
December,11, 2017,Monday,VF53215770,EFT TIA
December,11, 2017,Monday,VF53215770,EFT TIA
December,11, 2017,Monday,VF53196470,Reissue
December,11, 2017,Monday,VF53196470,Refund
December,11, 2017,Monday,VF53211600,EFT TIA
December,11, 2017,Monday,VF53215330,EFT TIA
December,11, 2017,Monday,VF53211170,Apply Check
December,11, 2017,Monday,VF53215870,Apply Check
December,12, 2017,Tuesday,VF53196470,Reissue
December,12, 2017,Tuesday,VF53193930,Paycase
December,12, 2017,Tuesday,VF53211160,Paycase
December,15, 2017,Friday,VF53183340,Paycase
December,18, 2017,Monday,VF53181890,Paycase
December,18, 2017,Monday,VF53203970,AWD Docattach
December,18, 2017,Monday,VF53214040,EFT TIA
December,19, 2017,Tuesday,VF53219230,EFT TIA
December,19, 2017,Tuesday,VF53219490,EFT TIA
December,19, 2017,Tuesday,VF53219590,EFT TIA
December,20, 2017,Wednesday,VF53190870 ,Refund
December,20, 2017,Wednesday,VF53208620,EFT TIA
December,20, 2017,Wednesday,VF53174360,Paycase
December,20, 2017,Wednesday,VF53219910,EFT TIA
December,20, 2017,Wednesday,VF53184240,Paycase
December,20, 2017,Wednesday,VF53219730,EFT TIA
December,20, 2017,Wednesday,VF53219840,EFT TIA
December,20, 2017,Wednesday,VF53200160,Paycase
December,20, 2017,Wednesday,VP66309890,Paycase
December,20, 2017,Wednesday,VF53220220,EFT TIA
December,20, 2017,Wednesday,VF53220220,EFT TIA
December,20, 2017,Wednesday,VF53197230,Refund
December,20, 2017,Wednesday,VF53206460,TIAEXPIRED
December,21, 2017,Thursday,VF53209220,Refund
December,21, 2017,Thursday,VF53203730,Refund
December,21, 2017,Thursday,VF53204550,Refund
December,21, 2017,Thursday,VF53209490,Paycase
December,21, 2017,Thursday,VF53204970,Refund
December,21, 2017,Thursday,VF53220960,EFT TIA
December,21, 2017,Thursday,VF76049070,Refund
December,21, 2017,Thursday,VF53216480,Refund
December,21, 2017,Thursday,VF53204510,Refund
December,22, 2017,Friday,VF53186110,Paycase
December,22, 2017,Friday,VF53177630,Paycase
December,22, 2017,Friday,VP66309470,Paycase
December,22, 2017,Friday,VF53218260,EFT TIA
December,22, 2017,Friday,VF53193240,AWD Docattach
December,22, 2017,Friday,VF53192060,AWD Docattach
December,22, 2017,Friday,VF53221660,EFT TIA
December,22, 2017,Friday,VP66309590,Paycase
December,22, 2017,Friday,VF53196140,AWD Docattach
December,22, 2017,Friday,VF53218940,EFT TIA
December,22, 2017,Friday,VF53221420,EFT TIA
December,22, 2017,Friday,VF53221630,EFT TIA
December,22, 2017,Friday,VF53221270,EFT TIA
December,22, 2017,Friday,VF53221270,EFT TIA
December,22, 2017,Friday,VF53205900,EFT TIA
December,26, 2017,Tuesday,VF53220950,EFT TIA
December,27, 2017,Wednesday,VF53180920,Paycase
December,27, 2017,Wednesday,VP66311480,Paycase
December,27, 2017,Wednesday,VF53221820,EFT TIA
December,27, 2017,Wednesday,VF53222540,EFT TIA
December,27, 2017,Wednesday,VF53222040,EFT TIA
December,27, 2017,Wednesday,VF53222140,EFT TIA
December,27, 2017,Wednesday,VF53196720,Reissue
December,27, 2017,Wednesday,VF53222660,EFT TIA
December,27, 2017,Wednesday,VF53189570,AWD Docattach
December,27, 2017,Wednesday,VF53222510,EFT TIA
December,27, 2017,Wednesday,VF53222010,EFT TIA
December,27, 2017,Wednesday,VF53221990,EFT TIA
December,27, 2017,Wednesday,VF53222810,EFT TIA
December,27, 2017,Wednesday,VF53222510,EFT TIA
December,27, 2017,Wednesday,VP66312260,Paycase
December,27, 2017,Wednesday,VF53200630,Paycase
December,28, 2017,Thursday,VF53196720,Reissue
December,29, 2017,Friday,VF53223270,EFT TIA
December,29, 2017,Friday,VF53223710,EFT TIA
December,29, 2017,Friday,VF53223070,EFT TIA
December,29, 2017,Friday,VF53177060,AWD Docattach
December,29, 2017,Friday,VF53223950,EFT TIA
December,29, 2017,Friday,VF53206500,Paycase
December,29, 2017,Friday,VF53194810,AWD Docattach
December,29, 2017,Friday,VF53223320,EFT TIA
December,29, 2017,Friday,VF53223280,EFT TIA
December,29, 2017,Friday,VF53223990,EFT TIA
December,29, 2017,Friday,VF53223680,EFT TIA
December,29, 2017,Friday,VF53223740,EFT TIA
December,29, 2017,Friday,VF53223300,EFT TIA
December,29, 2017,Friday,VF53223980,EFT TIA
December,29, 2017,Friday,VF53223310,EFT TIA
December,29, 2017,Friday,VF53223750,EFT TIA
December,29, 2017,Friday,VF53221190,EFT TIA
December,29, 2017,Friday,VF53223760,EFT TIA
December,29, 2017,Friday,VF53221400,EFT TIA
December,29, 2017,Friday,VF53223770,EFT TIA
December,29, 2017,Friday,VF53224020,EFT TIA
December,29, 2017,Friday,VF53218190,EFT TIA
December,29, 2017,Friday,VF53199280,Paycase
December,29, 2017,Friday,VF53193510,Paycase
December,29, 2017,Friday,VF53189990,Paycase
December,29, 2017,Friday,VF53194190,Paycase
December,29, 2017,Friday,VF53222080,EFT TIA
December,29, 2017,Friday,VF53223780,EFT TIA
December,29, 2017,Friday,VF53178530,Paycase
December,29, 2017,Friday,VF53224310,EFT TIA
December,29, 2017,Friday,VF53224280,EFT TIA
December,29, 2017,Friday,VF53183240,Paycase
December,29, 2017,Friday,VF53190110,Paycase
December,29, 2017,Friday,VF53224300,EFT TIA
December,29, 2017,Friday,VF53224330,EFT TIA
December,29, 2017,Friday,VF53224330,EFT TIA
December,29, 2017,Friday,VF53187630,Paycase
December,29, 2017,Friday,VF53194600,Paycase
January,2, 2018,Tuesday,VF53184240,Refund
January,3, 2018,Wednesday,VF53197840,AWD Docattach
January,3, 2018,Wednesday,VF53225100,EFT TIA
January,3, 2018,Wednesday,VF53221250,EFT TIA
January,3, 2018,Wednesday,VF53207850,EFT TIA
January,3, 2018,Wednesday,VF53225200,EFT TIA
January,5, 2018,Friday,VF53230360,EFT TIA
January,5, 2018,Friday,VF53230530,EFT TIA
January,5, 2018,Friday,VF53231170,EFT TIA
January,5, 2018,Friday,VF53200650,AWD Docattach
January,5, 2018,Friday,VP66309560,Paycase
January,5, 2018,Friday,VF53178980,Paycase
January,9, 2018,Tuesday,VF53182730,AWD Docattach
January,17, 2018,Wednesday,VF53234420,EFT TIA
January,17, 2018,Wednesday,VF53233580,EFT TIA
January,17, 2018,Wednesday,VF53225170,EFT TIA
January,17, 2018,Wednesday,VF53233580,EFT TIA
January,17, 2018,Wednesday,VF53234320,EFT TIA
January,17, 2018,Wednesday,VF53234300,EFT TIA
January,17, 2018,Wednesday,VF53233870,EFT TIA
January,17, 2018,Wednesday,VF53234340,EFT TIA
January,17, 2018,Wednesday,VF53234700,EFT TIA
January,17, 2018,Wednesday,VF53234080,EFT TIA
January,17, 2018,Wednesday,VF53234690,EFT TIA
January,17, 2018,Wednesday,VF53234610,EFT TIA
January,17, 2018,Wednesday,VF53234510,EFT TIA
January,17, 2018,Wednesday,VF53234330,EFT TIA
January,17, 2018,Wednesday,VF53198840,Paycase
January,18, 2018,Thursday,VF53234570,EFT TIA
January,18, 2018,Thursday,VF53224500,EFT TIA
January,18, 2018,Thursday,VF53224410,EFT TIA
January,18, 2018,Thursday,VF53234960,EFT TIA
January,18, 2018,Thursday,VF53215070,Paycase
January,19, 2018,Friday,VF53192100,Paycase
January,19, 2018,Friday,VF53231870,Paycase
January,19, 2018,Friday,VF53209990,Paycase
January,19, 2018,Friday,VF53178980,Paycase
January,19, 2018,Friday,VF53235130,EFT TIA
January,19, 2018,Friday,VF53236100,EFT TIA
January,19, 2018,Friday,VF53236040,EFT TIA
January,19, 2018,Friday,VF53192300,AWD Docattach
January,19, 2018,Friday,VF53235570,EFT TIA
January,19, 2018,Friday,VF53236010,EFT TIA
January,19, 2018,Friday,VF53193530,Paycase
January,19, 2018,Friday,VP66308650,Paycase
January,19, 2018,Friday,VF53236010,EFT TIA
January,19, 2018,Friday,VF53236780,EFT TIA
January,19, 2018,Friday,VF53236610,EFT TIA
January,19, 2018,Friday,VF53233550,EFT TIA
January,19, 2018,Friday,VF53236040,EFT TIA
January,19, 2018,Friday,VF53236640,EFT TIA
January,19, 2018,Friday,VF53234860,EFT TIA
January,24, 2018,Wednesday,VF53238290,EFT TIA
January,24, 2018,Wednesday,VF53237910,EFT TIA
January,24, 2018,Wednesday,VF53199270,AWD Docattach
January,24, 2018,Wednesday,VF53238560,EFT TIA
January,24, 2018,Wednesday,VF53238090,EFT TIA
January,24, 2018,Wednesday,VF53233380,EFT TIA
January,24, 2018,Wednesday,VF53238140,EFT TIA
January,24, 2018,Wednesday,VF53237930,EFT TIA
January,24, 2018,Wednesday,VF53238140,EFT TIA
January,24, 2018,Wednesday,VF53215720,Paycase
January,24, 2018,Wednesday,VF53238810,EFT TIA
January,24, 2018,Wednesday,VF53195230,AWD Docattach
January,24, 2018,Wednesday,VF53238700,Apply Check
January,24, 2018,Wednesday,VF53238340,Apply Check
January,24, 2018,Wednesday,VF53238370,EFT TIA
January,24, 2018,Wednesday,VP66314770,Paycase
January,24, 2018,Wednesday,VF53238800,EFT TIA
January,24, 2018,Wednesday,VF53178600,Paycase
January,24, 2018,Wednesday,VF53176300,AWD Docattach
January,24, 2018,Wednesday,VF53178140,AWD Docattach
January,25, 2018,Thursday,VF53181360,AWD Docattach
January,25, 2018,Thursday,VF53182010,AWD Docattach
January,25, 2018,Thursday,VF53182880,AWD Docattach
January,25, 2018,Thursday,VF53182960,AWD Docattach
January,25, 2018,Thursday,VF53184360,AWD Docattach
January,25, 2018,Thursday,VF53230480,EFT TIA
January,25, 2018,Thursday,VF53238850,EFT TIA
January,26, 2018,Friday,VF53233770,EFT TIA
January,26, 2018,Friday,VF53233870,EFT TIA
January,26, 2018,Friday,VF53239240,EFT TIA
January,26, 2018,Friday,VF53191080,Paycase
January,26, 2018,Friday,VF53239240,EFT TIA
January,26, 2018,Friday,VF53239260,EFT TIA
January,26, 2018,Friday,VF53238940,Apply Check
January,26, 2018,Friday,VF53239690,EFT TIA
January,26, 2018,Friday,VF53238660,Apply Check
January,26, 2018,Friday,VF53195440,AWD Docattach
January,26, 2018,Friday,VF53185240,AWD Docattach
January,26, 2018,Friday,VF53239760,EFT TIA
January,26, 2018,Friday,VF53239810,EFT TIA
January,26, 2018,Friday,VF53239670,EFT TIA
January,26, 2018,Friday,VF53233320,EFT TIA
January,26, 2018,Friday,VF53239530,EFT TIA
January,26, 2018,Friday,VF53239540,EFT TIA
January,26, 2018,Friday,VF53239660,EFT TIA
January,26, 2018,Friday,VF53239800,EFT TIA
January,26, 2018,Friday,VF53213920,AWD Docattach
January,26, 2018,Friday,VF53207600,AWD Docattach
January,26, 2018,Friday,VF53239820,EFT TIA
January,26, 2018,Friday,VF53239950,EFT TIA
January,30, 2018,Tuesday,VF53240360,EFT TIA
January,30, 2018,Tuesday,VF53240630,EFT TIA
January,30, 2018,Tuesday,VF53240680,EFT TIA
January,30, 2018,Tuesday,VF53238310,EFT TIA
January,30, 2018,Tuesday,VF53240990,EFT TIA
January,30, 2018,Tuesday,VF53240830,EFT TIA
January,31, 2018,Wednesday,VP66319140,EFT TIA
January,31, 2018,Wednesday,VF53205810,AWD Docattach
January,31, 2018,Wednesday,VF53193770,AWD Docattach
January,31, 2018,Wednesday,VF53217650,AWD Docattach
January,31, 2018,Wednesday,VF53241140,EFT TIA
January,31, 2018,Wednesday,VF53241020,EFT TIA
January,31, 2018,Wednesday,VF53241390,EFT TIA
January,31, 2018,Wednesday,VF53241210,EFT TIA
January,31, 2018,Wednesday,VF53187020,AWD Docattach
January,31, 2018,Wednesday,VF53193560,AWD Docattach
January,31, 2018,Wednesday,VF53233460,Paycase
January,31, 2018,Wednesday,VF53241380,EFT TIA
January,31, 2018,Wednesday,VF53178560,Paycase
January,31, 2018,Wednesday,VF53187020,Paycase
January,31, 2018,Wednesday,VF53241050,EFT TIA
January,31, 2018,Wednesday,VF53241520,EFT TIA
January,31, 2018,Wednesday,VF53234520,EFT TIA
January,31, 2018,Wednesday,VF53234150,EFT TIA
January,31, 2018,Wednesday,VF53239830,EFT TIA
January,31, 2018,Wednesday,VP66319140,EFT TIA
January,31, 2018,Wednesday,VF53241400,EFT TIA
January,31, 2018,Wednesday,VF53238940,Paycase
January,31, 2018,Wednesday,VF53195150,AWD Docattach
January,31, 2018,Wednesday,VF53217650,Paycase
January,31, 2018,Wednesday,VF53187020,Paycase
January,31, 2018,Wednesday,VF53203650,AWD Docattach
January,31, 2018,Wednesday,VF53204410,AWD Docattach
February,1, 2018,Thursday,VP66310750,Paycase
February,1, 2018,Thursday,VF53187560,AWD Docattach
February,5, 2018,Monday,VF53193560,Paycase
February,6, 2018,Tuesday,VF53207160,AWD Docattach
February,6, 2018,Tuesday,VF53187440,AWD Docattach
February,7, 2018,Wednesday,VF53244000,EFT TIA
February,7, 2018,Wednesday,VF53234740,AWD Docattach
February,7, 2018,Wednesday,VF53243010,EFT TIA
February,8, 2018,Thursday,VF53193870,AWD Docattach
February,8, 2018,Thursday,VF53198890,AWD Docattach
February,8, 2018,Thursday,VF53212230,Paycase
February,8, 2018,Thursday,VP66319550,EFT TIA
February,8, 2018,Thursday,VF53195500,AWD Docattach
February,8, 2018,Thursday,VF53198840,Paycase
February,8, 2018,Thursday,VF53208570,AWD Docattach
February,8, 2018,Thursday,VF53244780,EFT TIA
February,8, 2018,Thursday,VF53244720,EFT TIA
February,8, 2018,Thursday,VF53198890,Paycase
February,8, 2018,Thursday,VF53244720,EFT TIA
February,8, 2018,Thursday,VP66319500,EFT TIA
February,8, 2018,Thursday,VF53192860,AWD Docattach
February,8, 2018,Thursday,VF53244730,EFT TIA
February,8, 2018,Thursday,VF53176620,Reissue
February,8, 2018,Thursday,VF53245050,EFT TIA
February,8, 2018,Thursday,VP66310030,Paycase
February,8, 2018,Thursday,VF53245050,EFT TIA
February,8, 2018,Thursday,VF53244950,EFT TIA
February,9, 2018,Friday,VF53176620,Reissue
February,9, 2018,Friday,VF53245920,EFT TIA
February,12, 2018,Monday,VF53246000,EFT TIA
February,12, 2018,Monday,VF53246080,EFT TIA
February,12, 2018,Monday,VF53246290,EFT TIA
February,12, 2018,Monday,VF53246300,EFT TIA
February,12, 2018,Monday,VF53246490,EFT TIA
February,12, 2018,Monday,VF53246240,EFT TIA
February,12, 2018,Monday,VF53246530,EFT TIA
February,12, 2018,Monday,VF53176740,AWD Docattach
February,12, 2018,Monday,VF53246140,EFT TIA
February,12, 2018,Monday,VF53246270,EFT TIA
February,13, 2018,Tuesday,VF53179380,Paycase
February,13, 2018,Tuesday,VF53232260,AWD Docattach
February,13, 2018,Tuesday,VF53183970,AWD Docattach
February,13, 2018,Tuesday,VF53205270,Paycase
February,13, 2018,Tuesday,VF53246890,EFT TIA
February,13, 2018,Tuesday,VF53246930,EFT TIA
February,13, 2018,Tuesday,VF53182950,Reissue
February,13, 2018,Tuesday,VF53247010,EFT TIA
February,13, 2018,Tuesday,VF53246890,EFT TIA
February,13, 2018,Tuesday,VF53246930,EFT TIA
February,14, 2018,Wednesday,VF53245890,Paycase
February,14, 2018,Wednesday,VF53182950,Reissue
February,14, 2018,Wednesday,VF53180660,AWD Docattach
February,14, 2018,Wednesday,VF53205280,AWD Docattach
February,14, 2018,Wednesday,VF53180920,AWD Docattach
February,14, 2018,Wednesday,VF53180660,AWD Docattach
February,14, 2018,Wednesday,VF53180920,Paycase
February,14, 2018,Wednesday,VF53247820,EFT TIA
February,15, 2018,Thursday,VF53248100,Apply Check
February,16, 2018,Friday,VF53246850,EFT TIA
February,16, 2018,Friday,VF53216840,AWD Docattach
